"","book_id","literariness_read","author","title","genre","avg_sentence_length","sentence_length_variance"
"93",93,3.97333333333333,"Verhoef, Esther","Alles te verliezen","Suspense",11.5105,8.0877
"94",94,4.23255813953488,"French, Nicci","Medeplichtig","Suspense",12.6542,9.8989
"95",95,3.83941605839416,"Hollander, Loes den","Wisselgeld","Suspense",8.5734,5.5673
"96",96,4.07534246575342,"Läckberg, Camilla","Vuurtorenwachter","Suspense",12.4297,7.799
"97",97,3.70448548812665,"Lapidus, Jens","Snel geld","Suspense",7.8413,5.7315
"98",98,3.45791245791246,"Pauw, Marion","Jetset","Suspense",10.2029,7.0076
"99",99,5.93540051679587,"Siebelink, Jan","Het lichaam van Clara","Fiction",10.0062,7.0936
"100",100,5.87820512820513,"Harbach, Chad","De kunst van het veldspel","Fiction",13.1657,10.1781
"101",101,4.16666666666667,"Picoult, Jodi","Negentien minuten","Fiction",12.4709,8.3672
"102",102,5.6579754601227,"Ruiz Zafón, Carlos","Het spel van de engel","Fiction",15.2893,11.2687
"103",103,4.42893401015228,"King, Stephen","22/11/63","Suspense",12.2151,8.8164
"104",104,4.14146341463415,"Slee, Carry","Fatale liefde","Other",8.4835,5.1003
"105",105,5.83663366336634,"Abdolah, Kader","De koning","Fiction",13.9118,8.1673
"106",106,4.06284153005465,"George, Elizabeth","Lichaam van de dood","Suspense",12.8714,10.6153
"107",107,2.44495412844037,"Kinsella, Sophie","Mag ik je nummer even?","Romantic",9.0966,7.1674
"108",108,3.70810810810811,"Baldacci, David","Familieverraad","Suspense",11.3135,8.0293
"109",109,3.38064516129032,"Clancy, Tom","Op leven en dood","Suspense",12.9276,9.4572
"110",110,4.97654941373534,"Dorrestein, Renate","De leesclub","Fiction",13.4346,9.6761
"111",111,3.80497925311203,"Gilbert, Elizabeth","Toewijding","Fiction",17.711,12.0725
"112",112,3.203125,"Montefiore, Santa","Villa magdalena","Romantic",13.1836,9.0937
"113",113,3.91353383458647,"Grisham, John","De wettelozen","Suspense",13.8004,9.4241
"114",114,2.90740740740741,"Fallon, J.","Op de man af","Romantic",14.4176,10.6418
"115",115,5.47877358490566,"Coelho, Paulo","De beschermengel","Fiction",13.1185,8.6537
"116",116,4.73208722741433,"Kwast, Ernest van der","Mama Tandoori","Fiction",11.3659,6.8331
"117",117,3.59299781181619,"Peetz, Monika","De dinsdagvrouwen","Fiction",10.985,7.1294
"118",118,3.7027027027027,"Baldacci, David","Onschuldig","Suspense",10.7113,7.1802
"119",119,5.05894308943089,"Mak, Geert","Reizen zonder John","Other",17.0262,10.7875
"120",120,4.83798882681564,"Vlugt, Simone van der","Rode sneeuw in december","Fiction",13.9451,8.2933
"121",121,3.93390804597701,"Kroonenberg, Yvonne","De familieblues","Other",12.8063,7.9438
"122",122,5.46555323590814,"Winter, Leon de","VSV of daden van onbaatzuchtigheid","Fiction",10.3292,8.1709
"123",123,3.90939597315436,"Hollander, Loes den","Zielsverwanten","Suspense",9.6576,6.1178
"124",124,4.09090909090909,"Slaughter, Karin","Genesis","Suspense",12.7146,8.9214
"125",125,4.20538720538721,"Adler-Olsen, Jussi","De bedrijfsterrorist","Suspense",13.6945,9.8425
"126",126,3.82967032967033,"Baldacci, David","In het geheim","Suspense",11.9828,8.6228
"127",127,4.03112840466926,"Lapidus, Jens","Bloedlink","Suspense",7.9685,5.8068
"128",128,5.80254777070064,"Ruiz Zafón, Carlos","De gevangene van de hemel","Fiction",16.6909,13.2927
"129",129,4.12365591397849,"Hollander, Loes den","Krachtmeting","Suspense",9.9092,6.1961
"130",130,3.20618556701031,"Montefiore, Santa","De affaire","Romantic",12.938,9.0626
"131",131,4.78823529411765,"Dijkshoorn, Nico","Nooit ziek geweest","Fiction",8.4368,5.7631
"132",132,2.58301158301158,"Mansell, Jill","Drie is te veel","Romantic",11.7276,8.6034
"133",133,3.17972350230415,"Royen, Heleen van","De mannentester","Fiction",11.3684,7.9092
"134",134,3.87755102040816,"Hannah, Sophie","Kleine meid","Suspense",12.2627,8.3629
"135",135,4.16797900262467,"Nesbo, Jo","De schim","Suspense",11.479,8.5475
"136",136,3.0468085106383,"Sambeek, Ciel van","Bloed zaad en tranen","Fiction",11.1152,7.0074
"137",137,5.66468253968254,"Durlacher, Jessica","De held","Fiction",12.4773,9.7943
"138",138,4.8169014084507,"Rosnay, Tatiana de","Het appartement","Fiction",8.7149,5.9225
"139",139,3.42142857142857,"Paolini, Christopher","Erfenis","Other",14.8365,10.1245
"140",140,4.18380062305296,"Läckberg, Camilla","Engeleneiland","Suspense",12.6588,8.0891
"141",141,4.19080459770115,"Nesbo, Jo","De sneeuwman","Suspense",12.4653,9.1313
"142",142,4.76571428571429,"Hodgkinson, Amanda","Britannia Road 22","Fiction",11.4412,7.9159
"143",143,2.78061224489796,"Mansell, Jill","Vlinders voor altijd","Romantic",10.5673,7.5684
"144",144,3.89733840304183,"Hollander, Loes den","Vluchtgedrag","Suspense",9.8406,6.1786
"145",145,3.72067039106145,"James, Erica","Zussen voor altijd","Romantic",12.8293,8.8172
"146",146,3.81632653061224,"Gerritsen, Tess","Verdwijn","Suspense",11.0151,7.3848
"147",147,2.52173913043478,"Weisberger, Lauren","Champagne in Chateau Marmont","Romantic",14.3391,11.1126
"148",148,3.34215885947047,"Noort, Saskia","De verbouwing","Suspense",11.2958,8.1096
"149",149,3.98387096774194,"King, Stephen","Aardedonker, zonder sterren","Other",13.2474,9.8229
"150",150,3.74721189591078,"Hollander, Loes den","Driftleven","Suspense",8.3378,5.3584
"151",151,3.91472868217054,"Hoag, Tami","Dieper dan de doden","Suspense",12.0308,8.212
"152",152,5.63581183611533,"Eggers, Dave","Wat is de wat","Fiction",12.7242,9.0712
"153",153,4.95642701525054,"Smit, Susan","Vloed","Fiction",15.0388,8.8886
"154",154,4.85807860262009,"Vlugt, Simone van der","Jacoba, Dochter van Holland","Fiction",13.147,7.3108
"155",155,3.4,"Montefiore, Santa","Fairfield park","Romantic",12.4821,8.5594
"156",156,3.74,"Hollander, Loes den","Dwaalspoor","Suspense",8.506,5.6097
"157",157,3.79076923076923,"Coben, Harlan","Verzoeking","Suspense",11.0723,8.8445
"158",158,5.77038626609442,"Irving, John","De laatste nacht in Twisted River","Fiction",16.9459,11.146
"159",159,3.53148614609572,"Cornwell, Patricia","De Scarpetta factor","Suspense",14.7363,10.6482
"160",160,4.08045977011494,"Läckberg, Camilla","Sneeuwstorm en amandelgeur","Suspense",11.7501,7.6953
"161",161,4.00986842105263,"Läckberg, Camilla","Zeemeermin","Suspense",11.8447,7.6188
"162",162,3.75618374558304,"Hollander, Loes den","Broeinest","Suspense",10.5461,6.596
"163",163,5.53131749460043,"Dorrestein, Renate","De stiefmoeder","Fiction",11.5823,8.532
"164",164,4.29338842975207,"Launspach, Rik","1953","Fiction",13.4403,9.4895
"165",165,4.08852459016393,"Hollander, Loes den","Troostkind","Suspense",10.4008,6.5627
"166",166,6.11130136986301,"Grunberg, Arnon","De man zonder ziekte","Fiction",10.9202,7.3776
"167",167,4.7682119205298,"McCoy, Sarah","De bakkersdochter","Fiction",11.4608,8.0799
"168",168,3.42528735632184,"Binchy, Maeve","Hart & Ziel","Romantic",12.2038,8.4693
"169",169,3.89041095890411,"Forbes, Elena","Sterf met mij","Suspense",13.1418,9.1381
"170",170,2.46708463949843,"Kinsella, Sophie","Ken je me nog?","Romantic",9.33,6.7343
"171",171,4.2536023054755,"Läckberg, Camilla","Oorlogskind","Suspense",12.4773,8.5204
"172",172,3.99282296650718,"George, Elizabeth","Een duister vermoeden","Suspense",12.5871,9.8609
"173",173,5.11324041811847,"Zwaan, Josha","Parnassia","Fiction",10.0711,6.2597
"174",174,3.82624768946396,"Rowling, J.K.","Harry Potter en de Relieken van de Dood","Other",14.4884,10.0889
"175",175,2.78867924528302,"Baantjer, Appie / Waal, Simon de","Een lijk in de kast","Suspense",10.7577,7.6467
"176",176,3.99354838709677,"Läckberg, Camilla","Zusje","Suspense",12.4041,8.254
"177",177,4.89130434782609,"Shah, Hannah","De dochter van de iman","Fiction",12.9368,7.2546
"178",178,4.63019693654267,"Nesser, Håkan","De man zonder hond","Suspense",12.2694,9.6216
"179",179,4.22380952380952,"Hannah, Sophie","Moederziel","Suspense",12.3368,8.9973
"180",180,2.59276018099548,"Mansell, Jill","Eenmaal andermaal verliefd / druk 5","Romantic",10.878,8.241
"181",181,2.66037735849057,"Baantjer, Appie / Waal, Simon de","Een dief in de nacht","Suspense",10.266,7.1218
"182",182,5.34042553191489,"Giphart, Ronald","IJsland","Fiction",12.8822,9.6572
"183",183,2.64782608695652,"Mansell, Jill","Scherven brengen geluk","Romantic",11.0078,8.2821
"184",184,3.65925925925926,"Cornwell, Patricia","Mortuarium","Suspense",16.1963,12.1784
"185",185,5.76338514680484,"Beijnum, Kees van","Een soort familie","Fiction",18.5231,13.8265
"186",186,3.52352941176471,"Slee, Carry","Bangkok Boy","Other",7.9438,4.6062
"187",187,3.96987951807229,"Hollander, Loes den","De kat op zolder","Suspense",12.5334,7.7101
"188",188,3.82735426008969,"Grisham, John","De aanklacht","Suspense",13.738,8.7426
"189",189,3.32590529247911,"Binchy, Maeve","En toen kwam Frankie","Romantic",13.4514,8.7852
"190",190,4.88803088803089,"Amirrezvani, Anita","Dochter van Isfahan","Fiction",14.8552,8.8193
"191",191,3.93805309734513,"Vlugt, Simone van der","Blauw water","Suspense",12.5633,7.4928
"192",192,3.32019704433498,"Rijn, Linda van","Last Minute","Suspense",10.9211,6.9646
"193",193,6.19319727891156,"Mitchell, David","De niet verhoorde gebeden van Jacob de Zoet","Fiction",14.1957,10.9841
"194",194,3.49230769230769,"Clancy, Tom / Telp, Peter","De ogen van de vijand","Suspense",13.928,9.8366
"195",195,4.00333333333333,"Vlugt, Simone van der","Herfstlied","Suspense",11.6047,7.1075
"196",196,4.00917431192661,"Verhoef, Esther","Erken mij","Suspense",10.7606,7.7332
"197",197,3.99416909620991,"Läckberg, Camilla","Predikant","Suspense",13.7174,8.7977
"198",198,2.87005649717514,"Wickham, Madeleine","De cocktailclub","Romantic",11.6989,8.0288
"199",199,4.79310344827586,"Mastras, George","Tranen over Kashmir","Fiction",14.6386,9.9579
"200",200,6.0531561461794,"Voskuil, J.J.","De buurman","Fiction",10.5215,8.1821
"201",201,5.44604316546763,"Avallone, Silvia","Staal","Fiction",11.8483,8.1868
"202",202,3.70689655172414,"Baldacci, David","De rechtvaardigen","Suspense",11.5013,7.8398
"203",203,5.55841584158416,"Ammaniti, Niccolò","Zo God het wil","Fiction",11.3907,9.0699
"204",204,4,"Lapidus, Jens","Val dood","Suspense",8.2902,5.8875
"205",205,4.12980769230769,"Tex, Charles den","Spijt","Suspense",12.1196,8.3282
"206",206,4.15767634854772,"Evans, Nicholas","De vergeving","Fiction",14.7105,10.1226
"207",207,3.92805755395683,"Gerritsen, Tess","Het aandenken","Suspense",12.1602,8.2267
"208",208,3.71586715867159,"Noort, Saskia","Afgunst","Suspense",9.6353,6.8462
"209",209,4.22651933701657,"Dijkzeul, Lieneke","Gouden bergen","Suspense",11.9684,9.046
"210",210,3.7511961722488,"Forsyth, Frederick","De cobra","Suspense",14.5455,8.9513
"211",211,3.73799126637555,"James, Erica","Schaduwleven","Romantic",12.3153,8.6152
"212",212,6.16851168511685,"Japin, Arthur","De overgave","Fiction",15.308,11.3345
"213",213,3.5364238410596,"Bezaz, Naima El","Vinexvrouwen","Fiction",10.3545,6.9166
"214",214,3.71100917431193,"Hollander, Loes den","Naaktportret","Suspense",10.6095,6.574
"215",215,6.20282413350449,"Wieringa, Tommy","Caesarion","Fiction",11.099,8.2048
"216",216,3.83333333333333,"Cornwell, Patricia","Rood waas","Suspense",15.74,11.1668
"217",217,6.1640625,"Rosenboom, Thomas","Mechanica","Fiction",18.5324,14.4834
"218",218,4.20987654320988,"Adler-Olsen, Jussi","Het Washingtondecreet","Suspense",14.6699,10.0501
"219",219,5.32768361581921,"Ammaniti, Niccolò","Laat het feest beginnen","Fiction",11.1098,8.4198
"220",220,2.97560975609756,"Wageningen, Gerda van","In de schemering","Other",14.2159,10.1269
"221",221,5.89722675367047,"Moor, Margriet de","De schilder en het meisje","Fiction",15.9127,12.103
"222",222,2.83969465648855,"Baantjer, Appie / Waal, Simon de","Een rat in de val","Suspense",11.0034,7.3874
"223",223,3.87423312883436,"Hayder, Mo","Diep","Suspense",11.0914,8.2872
"224",224,5.37158469945355,"Duenas, Maria","Het geluid van de nacht","Fiction",15.7783,11.255
"225",225,4,"Berg, Greetje van den","Ergens achteraan","Other",12.0895,7.444
"226",226,3.84699453551913,"Hollander, Loes den","Uitglijder","Suspense",10.4164,6.335
"227",227,4.52912621359223,"Gerrard, Nicci","Het weerzien","Fiction",13.0946,10.0613
"228",228,2.62946428571429,"Kinsella, Sophie","Wat spook jij uit?","Romantic",9.4332,6.9666
"229",229,6.60246913580247,"Mortier, Erwin","Godenslaap","Fiction",19.4653,16.9579
"230",230,4.75221238938053,"Mankell, Henning","De Chinees","Suspense",12.36,7.605
"231",231,3.40714285714286,"Roberts, Nora","Eerbetoon","Romantic",11.4781,8.0112
"232",232,5.17041800643087,"Falcones, Ildefonso","De hand van Fatima","Fiction",16.3399,12.1109
"233",233,4.2686230248307,"Meyer, Deon","13 uur","Suspense",12.0108,9.2393
"234",234,5.32162661737523,"Hill, Lawrence","Het negerboek","Fiction",12.9995,8.6741
"235",235,4.91590909090909,"Mankell, Henning","De geschiedenis van een gevallen engel","Fiction",12.6579,7.6256
"236",236,5.08571428571429,"Jansen, Suzanna","De pronkspiegel","Other",12.3286,7.1835
"237",237,2.9,"Wisse, Clemens","De jonge boerin van Madezicht","Other",15.9256,9.5985
"238",238,4.17989417989418,"Cronin, Justin","De oversteek","Fiction",12.1154,9.2935
"239",239,6.37276478679505,"Lanoye, Tom","Sprakeloos","Fiction",14.3443,13.3053
"240",240,6.16521739130435,"Rosenboom, Thomas","Zoete mond","Fiction",18.9832,15.6898
"241",241,5.12987012987013,"Sansom, Christopher John","Winter in Madrid","Suspense",11.2264,7.2461
"242",242,6.15768725361367,"Franzen, Jonathan","De correcties","Fiction",16.121,14.0543
"243",243,3.28571428571429,"Burgers-Drost, Julia","Tussen hart en verstand","Other",8.9405,5.4622
"244",244,4.58757062146893,"Blake, Sarah","De laatste brief","Fiction",13.3534,10.4542
"245",245,2.88111888111888,"Baantjer, Appie / Waal, Simon de","Een schot in de roos","Suspense",9.5293,6.4298
"246",246,4.71319796954315,"Blum, Jenna","In tweestrijd","Fiction",11.8012,8.914
"247",247,3.70229007633588,"Patterson, James / Marklund, Liza","Partnerruil","Suspense",11.9939,7.4904
"248",248,3.05970149253731,"Smeets, Mart","De afrekening","Fiction",14.1887,9.8696
"249",249,3.84905660377358,"Austin, Lynn","Eindelijk thuis","Fiction",12.5435,7.9236
"250",250,3.92125984251969,"Hollander, Loes den","Het scherventapijt","Fiction",10.7442,6.6693
"251",251,5.61302681992337,"Ammaniti, Niccolò","Jij en ik","Fiction",10.3341,7.9857
"252",252,3.98260869565217,"Jackson, Lisa","De zevende doodzonde","Suspense",13.411,10.0898
"253",253,6.30542452830189,"Murakami, Haruki","Norwegian Wood","Fiction",12.5629,8.0394
"254",254,5.88317757009346,"Irving, John","In een mens","Fiction",15.5555,10.5479
