"","age.resp","books.per.year"
"787",47,50
"788",59,15
"789",57,10
"790",41,6
"791",52,75
"792",60,15
"793",33,20
"794",32,10
"795",52,40
"796",66,10
"797",38,4
"798",67,20
"799",57,15
"800",77,65
"801",26,10
"802",29,25
"803",69,15
"804",66,20
"805",49,15
"806",62,5
"807",55,25
"808",68,35
"809",49,10
"810",58,12
"811",73,20
"812",64,30
"813",67,20
"814",50,50
"815",31,18
"816",60,15
"817",26,35
"818",56,30
"819",60,25
"820",80,4
"821",68,7
"822",57,60
"823",66,13
"824",61,50
"825",44,40
"826",34,3
"827",51,25
"828",59,13
"829",39,30
"830",58,250
"831",55,20
"832",18,75
"833",49,50
"834",79,6
"835",42,20
"836",37,75
"837",52,25
"838",60,15
"839",49,15
"840",24,5
"841",45,40
"842",36,20
"843",65,50
"844",22,15
"845",61,75
"846",74,60
"847",29,15
"848",64,20
"849",71,12
"850",52,15
"851",49,45
"852",56,8
"853",63,55
"854",73,200
"855",54,500
"856",59,3
"857",50,4
"858",69,100
"859",24,30
"860",65,30
"861",60,20
"862",64,15
"863",27,20
"864",64,60
"865",68,3
"866",52,40
"867",59,39
"868",65,20
"869",59,30
"870",26,15
"871",62,30
"872",62,20
"873",46,100
"874",55,24
"875",61,15
"876",24,24
"877",70,50
"878",16,40
"879",71,10
"880",66,60
"881",68,20
"882",72,5
"883",65,10
"884",52,6
"885",68,50
"886",42,15
"887",55,12
"888",60,20
"889",47,20
"890",75,125
"891",50,10
"892",66,250
"893",60,52
"894",45,20
"895",63,30
"896",55,20
"897",62,15
"898",50,55
"899",56,60
"900",26,25
"901",44,20
"902",46,50
"903",55,10
"904",69,15
"905",43,35
"906",71,20
"907",21,30
"908",16,50
"909",31,100
"910",42,50
"911",44,100
"912",59,12
"913",42,60
"914",60,275
"915",60,50
"916",50,25
"917",58,35
"918",39,12
"919",59,12
"920",66,30
"921",30,20
"922",54,45
"923",78,24
"924",29,20
"925",62,12
"926",35,30
"927",62,10
"928",69,5
"929",41,25
"930",56,6
"931",45,25
"932",61,40
"933",52,10
"934",62,11
"935",41,20
"936",44,60
"937",43,8
"938",68,40
"939",63,24
"940",48,52
"941",24,7
"942",58,15
"943",70,10
"944",33,15
"945",28,12
"946",73,30
"947",62,50
"948",60,25
"949",57,15
"950",52,40
"951",57,25
"952",42,20
