"","respondent_id","books.read"
"673",688,28
"674",689,8
"675",690,11
"676",691,16
"677",692,21
"678",693,19
"679",694,15
"680",695,14
"681",696,71
"682",697,3
"683",698,44
"684",699,8
"685",700,28
"686",701,54
"687",702,17
"688",703,7
"689",704,3
"690",705,9
"691",706,20
"692",707,23
"693",708,3
"694",709,23
"695",710,39
"696",711,14
"697",712,8
"698",713,18
"699",714,33
"700",716,22
"701",717,38
"702",718,13
"703",720,114
"704",721,14
"705",722,18
"706",723,101
"707",724,40
"708",725,1
"709",726,28
"710",727,6
"711",728,7
"712",729,25
"713",730,6
"714",731,21
"715",732,10
"716",733,23
"717",734,1
"718",735,5
"719",736,43
"720",737,7
"721",738,55
"722",739,55
"723",740,45
"724",741,9
"725",742,11
"726",743,9
"727",744,36
"728",745,56
"729",746,35
"730",747,9
"731",748,48
"732",749,35
"733",750,24
"734",751,2
"735",752,24
"736",753,51
"737",754,51
"738",755,20
"739",756,20
"740",757,7
"741",758,11
"742",759,34
"743",760,18
"744",761,8
"745",762,3
"746",763,35
"747",764,62
"748",765,1
"749",766,1
"750",767,9
"751",768,12
"752",769,3
"753",770,1
"754",771,19
"755",773,17
"756",774,55
"757",775,1
"758",776,3
"759",777,1
"760",778,31
"761",779,23
"762",780,23
"763",781,22
"764",782,1
"765",783,8
"766",784,42
"767",785,117
"768",786,25
"769",787,4
"770",788,19
"771",789,7
"772",790,22
"773",791,41
"774",792,8
"775",793,7
"776",794,25
"777",795,31
"778",796,6
"779",797,11
"780",799,4
"781",801,22
"782",802,27
"783",803,76
"784",804,12
"785",805,9
"786",806,41
"787",807,16
"788",808,65
"789",809,19
"790",810,41
"791",811,29
"792",812,49
"793",813,5
"794",815,114
"795",816,74
"796",817,38
"797",818,20
"798",819,4
"799",820,35
"800",821,8
"801",822,86
"802",823,24
"803",824,15
"804",825,7
"805",826,38
"806",827,38
"807",828,1
"808",829,6
"809",830,57
"810",831,33
"811",832,10
"812",833,42
"813",834,6
"814",835,11
"815",836,1
"816",837,44
"817",838,64
"818",839,5
"819",840,20
"820",841,62
"821",842,4
"822",843,6
"823",844,9
"824",845,1
"825",846,41
"826",848,22
"827",849,6
"828",850,39
"829",851,5
"830",852,21
"831",853,2
"832",854,77
"833",855,38
"834",856,3
"835",858,35
"836",859,1
"837",860,22
"838",861,12
"839",862,23
"840",863,47
"841",864,152
"842",865,76
"843",866,3
"844",867,5
"845",868,33
"846",869,16
"847",870,26
"848",871,32
"849",872,53
"850",873,13
"851",874,11
"852",875,8
"853",876,12
"854",877,2
"855",878,25
"856",879,19
"857",880,14
"858",881,42
"859",882,6
"860",883,19
"861",884,13
"862",885,20
"863",886,9
"864",887,30
"865",888,16
"866",889,27
"867",890,12
"868",891,35
"869",893,27
"870",894,3
"871",896,16
"872",897,5
"873",898,24
"874",899,32
"875",900,127
"876",901,60
"877",902,7
"878",903,124
"879",904,84
"880",905,27
"881",906,36
"882",907,14
"883",908,33
"884",909,81
"885",910,15
"886",911,11
"887",912,12
"888",913,31
"889",914,47
"890",915,1
"891",916,37
"892",917,1
"893",918,25
"894",919,7
"895",920,34
"896",921,110
"897",922,10
"898",923,10
"899",924,31
"900",925,35
"901",926,22
"902",927,10
"903",928,6
"904",929,3
"905",930,7
"906",931,25
"907",932,10
"908",933,34
"909",934,25
"910",935,19
"911",936,37
"912",937,39
"913",938,36
"914",939,30
"915",941,86
"916",942,15
"917",943,14
"918",944,53
"919",945,65
"920",946,2
"921",947,37
"922",948,141
"923",949,5
"924",950,14
"925",951,48
"926",952,16
"927",953,8
"928",954,10
"929",955,1
"930",956,74
"931",957,35
"932",958,5
"933",959,1
"934",960,22
"935",961,18
"936",962,22
"937",963,14
"938",964,44
"939",965,23
"940",966,41
"941",967,5
"942",968,10
"943",969,1
"944",970,60
"945",971,14
"946",972,47
"947",973,41
"948",974,89
"949",975,7
"950",976,9
"951",977,2
"952",978,73
"953",979,47
"954",980,10
"955",981,21
"956",982,7
"957",983,1
"958",984,36
"959",985,4
"960",986,47
"961",987,57
"962",988,5
"963",989,11
"964",990,18
"965",991,3
"966",992,56
"967",993,16
"968",995,1
"969",996,20
"970",997,13
"971",998,3
"972",999,12
"973",1000,19
"974",1001,35
"975",1002,60
"976",1003,13
"977",1004,35
"978",1005,8
"979",1006,26
"980",1007,4
"981",1009,39
"982",1010,31
"983",1011,2
"984",1012,22
"985",1013,22
"986",1014,18
"987",1015,22
"988",1016,3
"989",1017,36
"990",1018,31
"991",1019,21
"992",1020,39
"993",1021,27
"994",1022,14
"995",1023,1
"996",1024,4
"997",1025,62
"998",1026,103
"999",1027,20
"1000",1028,20
"1001",1029,14
"1002",1030,10
"1003",1031,11
"1004",1032,18
"1005",1033,30
"1006",1034,37
"1007",1035,35
"1008",1036,23
"1009",1037,38
"1010",1038,1
"1011",1039,50
"1012",1040,72
"1013",1041,58
"1014",1042,74
"1015",1043,5
"1016",1044,49
"1017",1045,30
"1018",1046,8
"1019",1047,46
"1020",1048,5
"1021",1049,32
"1022",1050,36
"1023",1051,36
"1024",1052,25
"1025",1053,24
"1026",1054,6
"1027",1055,28
"1028",1056,10
"1029",1057,24
"1030",1058,2
"1031",1059,49
"1032",1060,22
"1033",1061,34
"1034",1062,25
"1035",1063,5
"1036",1064,29
"1037",1065,6
"1038",1066,66
"1039",1067,11
"1040",1068,61
"1041",1069,7
"1042",1070,11
"1043",1071,23
"1044",1072,1
"1045",1073,22
"1046",1074,26
"1047",1075,8
"1048",1076,48
"1049",1077,6
"1050",1078,12
"1051",1079,11
"1052",1081,23
"1053",1082,17
"1054",1083,63
"1055",1084,1
"1056",1085,21
"1057",1086,44
"1058",1087,4
"1059",1088,10
"1060",1089,70
"1061",1090,11
"1062",1092,33
"1063",1093,1
"1064",1094,42
"1065",1095,27
"1066",1096,17
"1067",1097,30
"1068",1098,28
"1069",1099,58
"1070",1100,46
"1071",1101,12
"1072",1102,40
"1073",1103,18
"1074",1104,1
"1075",1105,60
"1076",1106,42
"1077",1107,52
"1078",1108,64
"1079",1109,23
"1080",1110,3
"1081",1111,23
"1082",1112,15
"1083",1113,17
"1084",1114,30
"1085",1115,35
"1086",1116,23
"1087",1117,41
"1088",1119,7
"1089",1120,27
"1090",1121,30
"1091",1122,22
"1092",1123,62
"1093",1124,24
"1094",1125,83
"1095",1126,33
"1096",1127,8
"1097",1128,141
"1098",1129,64
"1099",1130,20
"1100",1131,16
"1101",1132,8
"1102",1133,28
"1103",1134,65
"1104",1135,69
"1105",1136,46
"1106",1137,26
"1107",1138,21
"1108",1139,7
"1109",1140,24
"1110",1141,21
"1111",1142,30
"1112",1143,7
"1113",1144,38
"1114",1145,58
"1115",1146,6
"1116",1147,39
"1117",1148,22
"1118",1149,32
"1119",1150,20
"1120",1151,8
"1121",1152,5
"1122",1153,9
"1123",1154,28
"1124",1155,32
"1125",1156,60
"1126",1157,31
"1127",1158,16
"1128",1159,38
"1129",1160,18
"1130",1161,30
"1131",1162,54
"1132",1163,32
"1133",1164,27
"1134",1165,73
"1135",1166,39
"1136",1167,59
"1137",1168,23
"1138",1169,22
"1139",1170,26
"1140",1171,41
"1141",1172,11
"1142",1173,15
"1143",1174,1
"1144",1175,11
"1145",1176,65
"1146",1177,11
"1147",1178,11
"1148",1179,49
"1149",1180,44
"1150",1181,3
"1151",1182,74
"1152",1183,4
"1153",1184,41
"1154",1185,12
"1155",1186,44
"1156",1187,15
"1157",1188,16
"1158",1189,13
"1159",1190,15
"1160",1191,10
"1161",1192,38
"1162",1193,9
"1163",1195,2
"1164",1196,20
"1165",1197,36
"1166",1198,60
"1167",1199,23
"1168",1200,38
"1169",1201,117
"1170",1202,86
"1171",1203,39
"1172",1204,1
"1173",1205,5
"1174",1206,1
"1175",1207,14
"1176",1208,87
"1177",1209,13
"1178",1210,11
"1179",1212,9
"1180",1213,39
"1181",1214,6
"1182",1215,1
"1183",1216,23
"1184",1217,60
"1185",1218,7
"1186",1219,41
"1187",1220,23
"1188",1221,26
"1189",1222,13
"1190",1223,26
"1191",1224,36
"1192",1225,26
"1193",1226,5
"1194",1227,41
"1195",1228,14
"1196",1229,57
"1197",1230,34
"1198",1231,33
"1199",1232,53
"1200",1233,52
"1201",1234,17
"1202",1235,59
"1203",1236,104
"1204",1237,5
"1205",1238,28
"1206",1239,40
"1207",1240,30
"1208",1241,8
"1209",1242,6
"1210",1243,21
"1211",1244,11
"1212",1245,4
"1213",1246,12
"1214",1247,29
"1215",1248,14
"1216",1249,1
"1217",1250,11
"1218",1251,27
"1219",1252,70
"1220",1253,66
"1221",1254,13
"1222",1255,26
"1223",1257,68
"1224",1259,11
"1225",1260,47
"1226",1261,26
"1227",1262,10
"1228",1263,1
"1229",1264,51
"1230",1265,15
"1231",1266,32
"1232",1267,21
"1233",1268,34
"1234",1269,13
"1235",1270,30
"1236",1271,18
"1237",1272,6
"1238",1273,23
"1239",1274,159
"1240",1276,17
"1241",1277,36
"1242",1278,9
"1243",1279,8
"1244",1280,46
"1245",1281,26
"1246",1282,26
"1247",1283,32
"1248",1284,7
"1249",1285,23
"1250",1286,3
"1251",1287,50
"1252",1288,26
"1253",1289,12
"1254",1290,19
"1255",1291,18
"1256",1292,29
"1257",1293,33
"1258",1294,2
"1259",1295,12
"1260",1296,19
"1261",1297,20
"1262",1298,7
"1263",1299,19
"1264",1300,22
"1265",1301,39
"1266",1302,3
"1267",1303,23
"1268",1304,8
"1269",1305,9
"1270",1306,8
"1271",1307,12
"1272",1308,18
"1273",1309,12
"1274",1310,44
"1275",1311,53
"1276",1312,36
"1277",1313,19
"1278",1314,43
"1279",1315,20
"1280",1316,39
"1281",1317,5
"1282",1318,11
"1283",1319,14
"1284",1320,8
"1285",1321,9
"1286",1322,23
"1287",1323,6
"1288",1324,10
"1289",1325,24
"1290",1326,17
"1291",1327,40
"1292",1328,21
"1293",1329,90
"1294",1330,36
"1295",1331,26
"1296",1332,25
"1297",1333,20
"1298",1334,62
"1299",1335,79
"1300",1336,8
"1301",1337,20
"1302",1338,18
"1303",1339,50
"1304",1340,73
"1305",1341,18
"1306",1342,4
"1307",1343,47
"1308",1344,18
"1309",1345,31
"1310",1346,11
"1311",1347,75
"1312",1348,6
"1313",1349,19
"1314",1350,7
"1315",1351,9
"1316",1352,50
"1317",1353,6
"1318",1354,5
"1319",1355,9
"1320",1356,122
"1321",1357,39
"1322",1358,33
"1323",1359,20
"1324",1360,1
"1325",1361,3
"1326",1362,28
"1327",1363,37
"1328",1364,18
"1329",1365,73
"1330",1366,13
"1331",1367,6
"1332",1368,46
"1333",1369,44
"1334",1370,5
"1335",1371,8
"1336",1372,52
"1337",1373,5
"1338",1375,75
"1339",1376,12
"1340",1377,6
"1341",1378,167
"1342",1379,1
"1343",1380,28
"1344",1381,8
"1345",1382,25
"1346",1383,27
"1347",1384,18
"1348",1385,6
"1349",1386,6
"1350",1387,22
"1351",1388,1
"1352",1389,64
"1353",1390,25
"1354",1391,63
"1355",1392,10
"1356",1393,19
"1357",1394,19
"1358",1395,10
"1359",1396,30
"1360",1397,97
"1361",1398,23
"1362",1399,41
"1363",1400,2
"1364",1401,56
"1365",1402,11
"1366",1403,120
"1367",1404,11
"1368",1405,19
"1369",1406,5
"1370",1407,15
"1371",1408,117
"1372",1409,9
"1373",1410,5
"1374",1411,75
"1375",1412,31
"1376",1413,1
"1377",1414,41
"1378",1415,7
"1379",1416,38
"1380",1417,42
"1381",1418,16
"1382",1419,26
"1383",1420,30
"1384",1421,3
"1385",1422,23
"1386",1423,23
"1387",1424,1
"1388",1425,7
"1389",1426,30
"1390",1427,12
"1391",1428,55
"1392",1429,54
"1393",1430,55
"1394",1431,20
"1395",1432,14
"1396",1433,10
"1397",1434,29
"1398",1435,100
"1399",1436,31
"1400",1437,12
"1401",1438,52
"1402",1439,40
"1403",1440,20
"1404",1441,54
"1405",1442,31
"1406",1443,32
"1407",1444,90
"1408",1445,44
"1409",1446,13
"1410",1447,91
"1411",1448,2
"1412",1449,17
"1413",1450,76
"1414",1451,17
"1415",1452,13
"1416",1453,22
"1417",1454,54
"1418",1455,22
"1419",1456,35
"1420",1457,16
"1421",1458,65
"1422",1459,20
"1423",1460,18
"1424",1461,29
"1425",1462,13
"1426",1463,2
"1427",1464,41
"1428",1465,3
"1429",1466,30
"1430",1468,31
"1431",1469,25
"1432",1470,9
"1433",1471,31
"1434",1472,74
"1435",1474,67
"1436",1475,57
"1437",1476,12
"1438",1477,7
"1439",1478,31
"1440",1479,59
"1441",1480,30
"1442",1481,20
"1443",1482,28
"1444",1483,30
"1445",1484,16
"1446",1486,22
"1447",1487,21
"1448",1488,32
"1449",1489,48
"1450",1490,8
"1451",1491,24
"1452",1492,9
"1453",1493,39
"1454",1494,9
"1455",1495,11
"1456",1496,17
"1457",1497,14
"1458",1498,12
"1459",1499,54
"1460",1500,41
"1461",1501,22
"1462",1502,13
"1463",1504,22
"1464",1505,49
"1465",1506,9
"1466",1507,9
"1467",1508,6
"1468",1509,35
"1469",1510,5
"1470",1511,44
"1471",1512,55
"1472",1513,16
"1473",1514,26
"1474",1516,41
"1475",1517,7
"1476",1518,55
"1477",1519,95
"1478",1520,25
"1479",1521,31
"1480",1522,17
"1481",1523,32
"1482",1524,43
"1483",1525,65
"1484",1526,55
"1485",1527,4
"1486",1528,28
"1487",1529,3
"1488",1530,33
"1489",1531,20
"1490",1532,5
"1491",1533,27
"1492",1534,8
"1493",1535,15
"1494",1536,26
"1495",1537,18
"1496",1538,12
"1497",1539,20
"1498",1540,3
"1499",1541,48
"1500",1542,22
"1501",1543,44
"1502",1544,13
"1503",1545,18
"1504",1546,9
"1505",1547,77
"1506",1548,38
"1507",1549,8
"1508",1550,57
"1509",1551,89
"1510",1552,7
"1511",1553,105
"1512",1555,27
"1513",1556,39
"1514",1557,12
"1515",1558,11
"1516",1559,2
"1517",1560,1
"1518",1561,27
"1519",1562,9
"1520",1563,16
"1521",1564,5
"1522",1565,12
"1523",1566,33
"1524",1567,7
"1525",1568,25
"1526",1569,70
"1527",1570,9
"1528",1572,84
"1529",1573,53
"1530",1574,3
"1531",1575,9
"1532",1576,1
"1533",1577,10
"1534",1578,94
"1535",1579,59
"1536",1580,4
"1537",1581,3
"1538",1582,24
"1539",1583,4
"1540",1584,58
"1541",1585,42
"1542",1586,33
"1543",1587,30
"1544",1588,72
"1545",1589,7
"1546",1590,26
"1547",1591,22
"1548",1592,1
"1549",1593,22
"1550",1594,19
"1551",1595,46
"1552",1596,17
"1553",1597,70
"1554",1598,1
"1555",1599,20
"1556",1600,5
"1557",1601,39
"1558",1602,40
"1559",1603,28
"1560",1604,7
"1561",1606,15
"1562",1607,36
"1563",1608,1
"1564",1609,29
"1565",1610,21
"1566",1611,43
"1567",1612,2
"1568",1613,45
"1569",1614,11
"1570",1615,21
"1571",1616,42
"1572",1617,96
"1573",1618,3
"1574",1619,44
"1575",1620,3
"1576",1621,27
"1577",1622,1
"1578",1623,41
"1579",1624,18
"1580",1625,80
"1581",1626,33
"1582",1627,23
"1583",1628,46
"1584",1629,15
"1585",1631,33
"1586",1632,13
"1587",1633,13
"1588",1634,6
"1589",1635,30
"1590",1636,10
"1591",1637,33
"1592",1638,27
"1593",1639,71
"1594",1640,11
"1595",1641,6
"1596",1642,1
"1597",1643,31
"1598",1644,27
"1599",1645,17
"1600",1646,161
"1601",1647,19
"1602",1648,3
"1603",1649,20
"1604",1650,8
"1605",1651,37
"1606",1652,25
"1607",1653,6
"1608",1654,18
"1609",1655,76
"1610",1656,56
"1611",1657,7
"1612",1658,22
"1613",1659,4
"1614",1660,42
"1615",1661,5
"1616",1662,27
"1617",1663,12
"1618",1664,22
"1619",1665,51
"1620",1666,13
"1621",1667,2
"1622",1668,26
"1623",1669,59
"1624",1670,36
"1625",1671,3
"1626",1672,15
"1627",1673,29
"1628",1674,6
"1629",1675,96
"1630",1676,30
"1631",1677,13
"1632",1678,38
"1633",1679,6
"1634",1680,3
"1635",1681,39
"1636",1682,28
"1637",1683,20
"1638",1684,8
"1639",1685,33
"1640",1686,29
"1641",1687,123
"1642",1688,20
"1643",1689,24
"1644",1691,16
"1645",1692,16
"1646",1693,13
"1647",1694,37
"1648",1695,47
"1649",1696,7
"1650",1697,32
"1651",1698,39
"1652",1699,12
"1653",1700,44
"1654",1701,77
"1655",1702,28
"1656",1703,19
"1657",1704,10
"1658",1705,49
"1659",1706,17
"1660",1707,4
"1661",1708,31
"1662",1709,14
"1663",1710,11
"1664",1711,18
"1665",1712,86
"1666",1713,9
"1667",1714,6
"1668",1715,1
"1669",1716,1
"1670",1717,9
"1671",1718,16
"1672",1719,58
"1673",1720,55
"1674",1721,6
"1675",1722,17
"1676",1723,65
"1677",1724,15
"1678",1725,17
"1679",1726,17
"1680",1727,4
"1681",1728,43
"1682",1729,1
"1683",1730,35
"1684",1731,12
"1685",1732,16
"1686",1733,39
"1687",1734,9
"1688",1735,12
"1689",1736,22
"1690",1737,49
"1691",1738,3
"1692",1739,10
"1693",1740,20
"1694",1741,58
"1695",1742,4
"1696",1743,21
"1697",1744,4
"1698",1745,19
"1699",1746,30
"1700",1747,40
"1701",1748,35
"1702",1749,18
"1703",1750,4
"1704",1751,4
"1705",1753,37
"1706",1754,3
"1707",1755,59
"1708",1756,38
"1709",1757,6
"1710",1758,48
"1711",1759,11
"1712",1760,6
"1713",1761,40
"1714",1762,34
"1715",1763,39
"1716",1764,1
"1717",1765,108
"1718",1766,32
"1719",1767,11
"1720",1768,6
"1721",1769,24
"1722",1771,12
"1723",1772,22
"1724",1773,1
"1725",1774,74
"1726",1775,45
"1727",1776,33
"1728",1777,2
"1729",1778,1
"1730",1779,65
"1731",1780,11
"1732",1781,30
"1733",1782,16
"1734",1783,29
"1735",1784,7
"1736",1786,4
"1737",1787,89
"1738",1788,31
"1739",1789,5
"1740",1790,51
"1741",1791,19
"1742",1792,37
"1743",1793,66
"1744",1794,26
"1745",1795,159
"1746",1796,27
"1747",1797,15
"1748",1798,30
"1749",1799,13
"1750",1800,16
"1751",1801,18
"1752",1802,34
"1753",1803,57
"1754",1804,13
"1755",1805,5
"1756",1806,25
"1757",1807,43
"1758",1808,38
"1759",1809,66
"1760",1810,70
"1761",1811,7
"1762",1812,35
"1763",1813,25
"1764",1814,6
"1765",1815,3
"1766",1816,6
"1767",1817,55
"1768",1818,22
"1769",1819,18
"1770",1820,12
