"","Fiction","Other","Romantic","Suspense"
"512",33,0,0,9
"513",15,3,0,0
"514",7,2,0,6
"515",29,1,0,2
"516",4,3,9,2
"517",2,0,0,0
"518",3,3,0,6
"519",11,0,0,0
"520",19,2,12,22
"522",11,1,0,0
"523",12,5,11,19
"524",28,2,3,11
"525",43,5,4,9
"526",5,0,0,2
"527",3,0,0,0
"528",17,0,0,4
"529",19,5,2,32
"530",8,0,0,0
"531",12,1,0,6
"532",5,1,9,11
"533",35,2,0,4
"534",25,1,0,4
"535",11,2,0,20
"536",28,0,0,0
"537",12,0,0,1
"538",2,1,0,0
"539",5,1,2,49
"540",5,0,0,3
"541",4,0,0,5
"542",24,2,0,21
"545",27,0,0,2
"546",19,0,0,0
"547",13,0,0,1
"548",2,1,0,4
"549",2,0,0,26
"550",9,2,0,0
"551",13,3,0,59
"552",16,1,0,6
"553",7,0,0,1
"555",15,3,0,30
"556",42,1,2,21
"557",17,3,0,3
"558",4,1,0,0
"559",37,3,0,1
"560",5,1,0,1
"561",8,0,3,44
"562",9,3,0,1
"563",16,4,9,0
"564",29,1,0,18
"565",3,5,1,0
"566",4,1,0,4
"567",4,5,7,15
"568",7,0,0,4
"569",2,2,0,2
"570",30,1,0,22
"571",17,0,0,2
"572",2,0,0,5
"573",16,3,0,6
"574",5,0,0,69
"575",14,1,0,3
"576",4,0,0,0
"577",14,0,1,13
"578",21,0,0,5
"579",14,2,0,0
"580",12,3,5,34
"581",5,3,4,3
"583",10,1,0,0
"584",12,0,0,0
"585",22,3,1,92
"586",16,0,0,1
"587",8,1,0,0
"588",28,1,0,0
"589",4,2,0,0
"590",34,1,0,38
"591",14,1,0,3
"592",17,0,0,1
"593",15,0,0,21
"594",3,1,0,4
"595",19,0,0,4
"596",16,2,0,17
"598",26,1,0,0
"599",26,2,0,5
"600",27,2,0,3
"602",13,1,0,5
"603",9,0,0,4
"604",25,0,0,1
"605",21,7,0,5
"606",1,0,0,0
"607",21,0,0,0
"608",20,1,0,4
"609",0,3,0,9
"610",48,3,0,37
"611",60,5,0,55
"612",29,1,0,7
"614",5,1,0,0
"615",6,3,0,1
"616",6,0,3,56
"617",4,1,0,0
"618",28,3,0,1
"619",15,0,0,0
"620",28,1,2,23
"621",1,1,0,2
"622",33,1,3,20
"624",5,1,0,1
"625",7,1,0,4
"626",17,0,0,3
"627",16,0,0,10
"629",46,3,0,12
"630",20,2,0,32
"631",22,3,2,43
"632",26,5,0,17
"633",36,2,0,1
"634",9,0,0,1
"635",20,2,0,58
"636",2,3,0,7
"637",2,1,0,0
"639",34,2,0,1
"640",48,1,0,1
"641",6,0,0,0
"642",15,1,0,44
"643",19,0,0,0
"644",46,3,0,6
"645",13,1,0,17
"646",8,1,0,3
"647",35,2,1,62
"648",46,3,0,22
"649",11,8,0,2
"650",6,4,0,0
"651",3,0,0,4
